video_keyword,candidate_meme_name,top_terms,n_segments
GO学长瓦学弟,瓦学,"[('瓦学', 15), ('学弟', 15), ('。 ', 15), ('瓦学弟', 15), ('勾学', 8), ('学长', 8), ('性压', 8), ('压抑', 8), ('勾学长', 8), ('性压抑', 8)]",20
†升天†,抄天,"[('抄天', 4), ('天将', 4), ('抄天将', 4), ('生天', 3)]",3
月薪喵,表情,"[('表情', 7), ('這個', 6), ('貓 ', 5), ('情貓', 5), ('表情貓', 5), ('月心', 4), ('博主', 4), ('的表情', 4), ('心妙', 3), ('可愛', 3)]",19
刘慈欣还是留了一手,科幻,"[('科幻', 9), ('三体', 5), ('视频', 5), ('幻骗', 5), ('科幻骗', 5), ('能处', 4), (' 还', 4), ('柳子', 3), ('子心', 3), ('真实', 3)]",70
嘉豪,家豪,"[('家豪', 9), ('豪 ', 4), ('成為', 4), (' 而', 3), ('真正', 3), ('豪血', 3), (' 這', 3), ('家豪 ', 3)]",39
头顶尖尖,。 ,"[('。 ', 8), ('举办', 8), ('那我问', 8), ('我问你', 8), ('问你,', 7), ('头顶', 6), ('啊 ', 6), (',那我', 6), ('阿諾', 5), ('可能', 5)]",29
我的刀盾,AM,"[('AM', 18), (' B', 9), ('BA', 9), ('MA', 9), ('MO', 9), ('OI', 9), ('I ', 9), (' BA', 9), ('BAM', 9), ('AMA', 9)]",32
曾经的王,。 ,"[('。 ', 12), ('大家', 7), ('资本', 7), ('粉丝', 6), (', ', 5), ('以及', 4), ('龙龙', 3), ('最近', 3), ('故事', 3), ('被资', 3)]",18
这是一场试炼,敵亞,"[('敵亞', 4), ('亞波', 4), ('波羅', 4), ('敵亞波', 4), ('亞波羅', 4), ('拖比', 3), ('比歐', 3), ('拖比歐', 3)]",10
熊出没, 這,"[(' 這', 8), ('成立', 7), ('幫助', 6), ('生活', 5), ('輕鬆', 5), ('鬆幫', 5), ('輕鬆幫', 5), ('鬆幫助', 5), ('表情', 4), ('活 ', 4)]",97
